wti,spread,n_completed,n_overruns,ess_d,tail_ess,n_admissible,n_eligible,wti_weighted_mean,brent_weighted_mean,wti_bias_abs,wti_bias_rel,ev_usd,cvar_usd,var_usd,decision_ratio,p_loss,mean_delta_usd,std_delta_usd,skew_delta,median_delta_usd,p10_delta_usd,p90_delta_usd,sigma_calibration_obs,scenario_price_range
60.0,3.5,10000,0,82.40140895487917,7.94457861955002,153,1917,59.88963345137645,64.76723915807048,0.1103665486235527,0.0018394424770592,2174308.571256831,4892242.458721903,3349394.677787151,0.4444400680470093,0.2354,-57461.87314699998,419024.45996812754,-1.0311153840023444,-20476.11000000022,-567678.7889999995,387613.6799999996,664,10.0
60.0,3.75,10000,0,90.06142903255447,11.842728564661297,165,1917,60.01225087900244,64.90999038843081,0.0122508790024369,0.0002041813167072,2091658.1295360648,4616712.726331065,3233651.321111968,0.4530622227383683,0.2467,-67055.79531499997,423724.0297495161,-0.9971525017114288,-37329.29999999981,-550323.8470000001,375810.120000001,678,10.0
60.0,4.0,10000,0,94.5961240686496,9.518008071270843,174,1917,60.10588698342213,65.01758278100479,0.1058869834221312,0.0017647830570355,1875136.709938106,4858439.89735907,3358684.1596508124,0.3859544935314286,0.2796,-65811.13960999998,423780.60599929845,-0.9864937901375992,-35311.5,-556480.7399999998,386661.7800000007,684,10.0
60.0,4.25,10000,0,96.07007223846432,7.990283814881107,177,1917,60.13703408700062,65.08305845849873,0.1370340870006217,0.0022839014500103,1787132.665526246,4997728.391837078,3496823.0482086423,0.3575889935205796,0.2937,-70314.12714599998,409585.2898100172,-0.899180012619348,-40154.21999999997,-571139.9999999991,378475.4399999997,689,10.0
60.0,4.5,10000,0,99.69727736235488,10.05631536604988,183,1917,60.19931403421293,65.17139059711594,0.1993140342129322,0.0033219005702155,1768298.822577756,5008797.110061667,3684892.743969129,0.3530386205952721,0.2981,-72865.59580199998,430355.8299621428,-0.7855675992034288,-41667.57000000007,-586560.7799999998,392373.1799999988,700,10.0
60.0,4.75,10000,0,103.02011700418696,9.547086229282822,191,1917,60.23944228641638,65.25406033884212,0.2394422864163772,0.0039907047736062,1748947.7666490334,5016732.113236361,3550184.0006836005,0.3486229137159894,0.2938,-77116.95767399998,425401.70453271456,-0.7474773413190435,-40154.219999999856,-597983.5800000001,392373.1799999988,704,10.0
60.0,5.0,10000,0,103.22762394929156,9.415486592347094,191,1917,60.29730622530551,65.35692349624617,0.2973062253055119,0.0049551037550918,1687508.793793915,5090375.114784887,3683477.752023128,0.3315097130843228,0.302,-77740.90805999999,428068.4439565221,-0.6738344502223474,-43584.48000000045,-605027.6400000001,417884.1000000005,709,10.0
60.0,5.25,10000,0,105.40066449248148,10.26019863744562,194,1917,60.29643964492076,65.40303938582285,0.2964396449207598,0.0049406607486793,1688162.8187619722,5196353.842021712,3748615.69228082,0.3248744927857279,0.2989,-83630.12702699998,426972.0861976003,-0.6754755851498948,-51353.00999999978,-605027.6400000001,410268.9000000004,719,10.0
60.0,5.5,10000,0,106.96313463886732,10.406260406260408,194,1917,60.37521768795444,65.5582342800675,0.3752176879544393,0.0062536281325739,1653911.6704135158,5072177.317841471,3706071.760636569,0.3260752861686938,0.3098,-89459.84844399999,435693.7170252935,-0.7310543326729974,-52967.25,-627072.2000000002,410268.9000000004,723,10.0
60.0,5.75,10000,0,108.74926148737052,10.557432432432432,195,1917,60.39244778519039,65.63941219506874,0.3924477851903916,0.0065407964198398,1565121.2445586678,5112190.28764688,3703888.0690145656,0.3061547314349064,0.3156,-93153.94413499998,430441.2214381631,-0.531785278068029,-60735.78000000026,-619694.8800000001,410268.9000000004,726,10.0
60.0,6.0,10000,0,110.21393507251656,10.485697508598273,198,1917,60.4376300178817,65.80359608325111,0.4376300178817018,0.0072938336313616,1592476.2675189483,5118718.928390048,3748100.6718436857,0.3111083632052089,0.3209,-110216.77616399998,435626.9459451352,-0.7479578959166759,-62056.28000000026,-636630.7199999997,387613.6799999997,731,10.0
60.0,6.25,10000,0,115.27708622146228,10.608503776627344,206,1917,60.472187181116205,65.96946474012226,0.4721871811162046,0.0078697863519367,1368463.724069502,5409299.257219642,4546754.360120507,0.2529835490693274,0.3456,-90404.008946,428094.3468494804,-0.5790636718845055,-61688.25,-606550.6800000011,433960.0,733,10.0
60.0,6.5,10000,0,112.3712433088737,8.920288303717976,202,1917,60.493349889142856,66.12797730819597,0.4933498891428556,0.0082224981523809,1304111.0078015411,5338674.198222257,4521568.837082227,0.2442761928112791,0.3577,-95398.54574799996,424021.53996343154,-0.5415073190747353,-61542.90000000037,-618718.47,433959.9999999996,733,10.0
60.25,3.5,10000,0,84.11081330160316,10.047423840527289,153,1917,60.14915255230307,64.9852718166618,0.1008474476969283,0.0016738165592851,2178589.976690813,4681403.873325019,3219601.250050164,0.4653710800524129,0.2397,-63084.08940799997,412822.771389992,-0.9051499031955832,-37329.300000000745,-537061.9800000004,386661.7799999999,670,10.0
60.25,3.75,10000,0,88.7036345059403,7.66541975838597,162,1917,60.23947252252233,65.09267964566234,0.0105274774776731,0.0001747299166418,1907537.785331924,4992290.617861746,3421421.041507962,0.3820967029657708,0.2709,-67453.16101099997,407756.5450103675,-0.9732074907813224,-38943.54000000004,-537061.9800000004,377412.04799999954,677,10.0
60.25,4.0,10000,0,91.4653221061404,7.657436902719921,167,1917,60.292604869454834,65.16918711643362,0.0426048694548342,0.0007071347627358,1857433.076357287,4936667.767572548,3461059.119609789,0.3762523961118456,0.2806,-76654.71089199999,413802.388674613,-0.9145450296756796,-43887.15000000037,-577993.6800000006,387613.6799999996,685,10.0
60.25,4.25,10000,0,94.9718481352341,8.99151201266005,173,1917,60.353099600420805,65.25378489827187,0.1030996004208049,0.0017111966874822,1833893.4024880007,5089504.535579319,3729798.8107087705,0.3603284739541461,0.2877,-76330.07183799999,421719.7671236237,-0.9955670453178308,-42474.69000000041,-577993.6800000002,387613.67999999976,696,10.0
60.25,4.5,10000,0,98.78787179036752,9.117432530999269,182,1917,60.432315617145335,65.36655489470512,0.1823156171453348,0.0030259853468105,1827020.000036268,5051337.136495239,3600675.7235662863,0.3616903704241578,0.2852,-87361.61097499999,418130.7051223232,-0.8379293418116247,-54177.93000000005,-598105.3700000001,387613.6799999997,700,10.0
60.25,4.75,10000,0,101.000058795415,9.057314687341496,185,1917,60.48104528738362,65.44962686677188,0.2310452873836226,0.003834776554085,1770880.5616110738,5119854.350678584,3787054.5758789415,0.3458849491248441,0.2898,-85625.45206,416967.9865686278,-0.7766762862277522,-52967.25,-602552.7000000001,386661.7799999994,708,10.0
60.25,5.0,10000,0,102.83864478254591,9.531071292413266,188,1917,60.48633005929383,65.49197028975428,0.2363300592938273,0.0039224906106859,1755670.9611698685,5053692.577399619,3734143.750684639,0.3474035933688016,0.2964,-92927.85249499998,430065.58042040287,-0.825414802719872,-61542.89999999991,-614356.2600000007,398084.580000001,720,10.0
60.25,5.25,10000,0,105.006943552785,9.46611132146914,189,1917,60.55104109829918,65.62271221889846,0.30104109829918,0.0049965327518536,1676866.98360251,4996597.544263341,3613946.980564824,0.3356017707545293,0.3007,-91761.01679999998,432834.5488280896,-0.7009470803622,-61542.89999999991,-606550.6800000011,398084.580000001,724,10.0
60.25,5.5,10000,0,108.93186995042512,10.145280415550683,193,1917,60.60938234939713,65.7430172555976,0.35938234939713,0.0059648522721515,1729147.4021210975,5005784.687092699,3636190.238825398,0.3454298397171705,0.2981,-98297.771765,430422.1434164916,-0.7199639945271847,-64266.93000000017,-628063.6200000006,387613.67999999993,728,10.0
60.25,5.75,10000,0,111.02609201186644,10.218262077985775,197,1917,60.68831921386734,65.92426629511185,0.4383192138673379,0.0072750076990429,1637806.289094037,5088302.4150480665,3805241.084466428,0.3218767587890244,0.3113,-113956.73188899996,433425.0869958092,-0.8749167801505653,-70017.66000000015,-636630.7199999997,387613.67999999993,735,10.0
60.25,6.0,10000,0,115.82061501398864,9.82163903512218,205,1917,60.72741963651892,66.07923038053292,0.4774196365189169,0.0079239773696085,1460972.5814493129,5320801.640007782,4447700.135279417,0.2745775317884574,0.3316,-109446.84970899996,422406.38773168647,-0.6892696926573938,-74255.04000000004,-627324.558,387613.6799999996,737,10.0
60.25,6.25,10000,0,114.12129047172036,10.371722535678725,203,1917,60.790740807303045,66.27549264675169,0.5407408073030453,0.0089749511585567,1363713.7860440216,5454890.306635775,4640271.847701225,0.2499983884891486,0.3526,-88244.62316899997,422381.6050971528,-0.5847412553992678,-64266.93000000017,-606550.6800000011,423261.2140000042,738,10.0
60.25,6.5,10000,0,112.8264040700143,9.780907668231611,199,1917,60.79464909868434,66.3786474097893,0.5446490986843386,0.0090398190653002,1356858.3615749069,5464215.089478685,4649600.180452865,0.2483171579734352,0.3544,-82147.61286799997,413539.7673068896,-0.4603010074784182,-61542.90000000037,-605027.6399999999,435018.2999999998,737,10.0
60.5,3.5,10000,0,86.55801949886059,9.181050312155712,155,1917,60.383428300143336,65.164826230687,0.1165716998566637,0.0019268049563084,1915679.7662482343,4902936.363725824,3360251.204205152,0.390720911742056,0.2739,-79154.63121799997,392087.7834136922,-1.198400817256214,-37833.75,-547766.01,337295.41000000015,671,10.0
60.5,3.75,10000,0,89.25786524850437,7.640586797066013,160,1917,60.43498795442622,65.23983039502221,0.0650120455737806,0.0010745792656823,1895175.702179952,5018614.433783861,3457864.7921515554,0.3776292694298603,0.2772,-82021.27536999996,402752.5340151739,-1.215146729480215,-41465.79000000004,-556480.7400000007,351251.0999999996,681,10.0
